,Price,Area,Location,No. of Bedrooms
1395,9500000,515,Kandivali East,1
1396,19000000,1325,Kandivali East,3
1397,9000000,525,Kandivali East,1
1398,9500000,700,Kandivali East,1
1399,17200000,1250,Kandivali East,3
1400,12500000,745,Kandivali East,2
1401,6500000,465,Kandivali East,1
1402,11500000,780,Kandivali East,2
1403,6400000,365,Kandivali East,1
1404,23500000,1325,Kandivali East,3
1405,16399999,1065,Kandivali East,2
1406,17500000,1120,Kandivali East,2
1407,14000000,1000,Kandivali East,2
1408,9600000,515,Kandivali East,1
1409,10800000,550,Kandivali East,1
1410,10000000,479,Kandivali East,1
1411,17300000,845,Kandivali East,2
1412,21600000,1202,Kandivali East,3
1413,32700000,1763,Kandivali East,4
1414,34500000,2465,Kandivali East,3
1415,15500000,850,Kandivali East,2
1416,25500000,1750,Kandivali East,3
1417,27000000,1750,Kandivali East,3
1418,25000000,1750,Kandivali East,3
1419,16299999,1090,Kandivali East,2
1420,12500000,800,Kandivali East,2
1421,21500000,1200,Kandivali East,3
1422,21000000,1075,Kandivali East,2
1423,10500000,645,Kandivali East,1
1424,8500000,560,Kandivali East,1
1425,8500000,570,Kandivali East,1
1426,8000000,495,Kandivali East,1
1427,9000000,650,Kandivali East,1
1428,27500000,1350,Kandivali East,3
1429,11000000,729,Kandivali East,2
1430,7890000,534,Kandivali East,1
1431,7909999,553,Kandivali East,1
1432,7900000,564,Kandivali East,1
1433,11299999,744,Kandivali East,1
1434,5500000,393,Kandivali East,1
1435,11299999,728,Kandivali East,2
1436,7500000,553,Kandivali East,1
1437,7900000,565,Kandivali East,1
1438,7800000,450,Kandivali East,1
1439,7800000,450,Kandivali East,1
1440,5000000,300,Kandivali East,1
1441,5040000,300,Kandivali East,1
1442,17500000,1200,Kandivali East,3
1443,4700000,310,Kandivali East,1
1444,26000000,1350,Kandivali East,3
1445,36000000,1786,Kandivali East,3
1446,21000000,1050,Kandivali East,2
1447,25200000,1750,Kandivali East,3
1448,25600000,1750,Kandivali East,3
1449,15000000,1000,Kandivali East,2
1450,15500000,900,Kandivali East,2
1451,9400000,680,Kandivali East,2
1452,7500000,460,Kandivali East,1
1453,22000000,1655,Kandivali East,3
1454,34500000,2465,Kandivali East,4
1455,34000000,2365,Kandivali East,4
1456,14000000,1000,Kandivali East,2
1457,25000000,1600,Kandivali East,3
1458,6300000,365,Kandivali East,1
1459,8600000,575,Kandivali East,1
1460,9000000,535,Kandivali East,1
1461,12500000,765,Kandivali East,2
1462,18000000,1120,Kandivali East,2
1463,25000000,1750,Kandivali East,3
1464,9800000,660,Kandivali East,2
1465,29000000,1475,Kandivali East,3
1466,12500000,800,Kandivali West,2
1467,18000000,1500,Kandivali West,3
1468,13200000,1100,Kandivali West,2
1469,35300000,1962,Kandivali West,3
1470,25000000,1440,Kandivali West,3
1471,9000000,765,Kandivali West,1
1472,13700000,1056,Kandivali West,2
1473,15200000,1050,Kandivali West,2
1474,8800000,600,Kandivali West,1
1475,17500000,1500,Kandivali West,3
1476,26500000,1500,Kandivali West,3
1477,21000000,1129,Kandivali West,2
1478,16500000,839,Kandivali West,2
1479,8600000,650,Kandivali West,1
1480,12800000,913,Kandivali West,2
1481,8900000,562,Kandivali West,1
1482,14500000,791,Kandivali West,2
1483,19600000,1561,Kandivali West,3
1484,19900000,1550,Kandivali West,3
1485,40000000,2000,Kandivali West,4
1486,14200000,925,Kandivali West,2
1487,9500000,665,Kandivali West,1
1488,8500000,640,Kandivali West,1
1489,10200000,864,Kandivali West,2
1490,16500000,840,Kandivali West,2
1491,16500000,840,Kandivali West,2
1492,12000000,680,Kandivali West,2
1493,23600000,1242,Kandivali West,3
1494,16900000,888,Kandivali West,2
1495,16900000,888,Kandivali West,2
1496,10000000,650,Kandivali West,1
1497,22000000,1614,Kandivali West,3
1498,9800000,580,Kandivali West,1
1499,14500000,950,Kandivali West,2
1500,8400000,605,Kandivali West,1
1501,14000000,768,Kandivali West,2
1502,5200000,340,Kandivali West,1
1503,4100000,340,Kandivali West,1
1504,4100000,350,Kandivali West,1
1505,5200000,410,Kandivali West,1
1506,4200000,350,Kandivali West,1
1507,4100000,340,Kandivali West,1
1508,4200000,340,Kandivali West,1
1509,17500000,980,Kandivali West,2
1510,14000000,1050,Kandivali West,2
1511,14500000,950,Kandivali West,2
1512,20000000,1500,Kandivali West,3
1513,20000000,1450,Kandivali West,3
1514,10200000,720,Kandivali West,2
1515,5800000,405,Kandivali West,1
1516,6800000,565,Kandivali West,1
1517,20000000,1000,Kandivali West,2
1518,22000000,1150,Kandivali West,3
1519,9000000,520,Kandivali West,1
1520,18700000,980,Kandivali West,2
1521,14000000,1015,Kandivali West,2
1522,9000000,520,Kandivali West,1
1523,12500000,900,Kandivali West,2
1524,17900000,1400,Kandivali West,3
1525,12700000,1065,Kandivali West,2
1526,12000000,975,Kandivali West,2
1527,7000000,560,Kandivali West,1
1528,7000000,560,Kandivali West,1
1529,8500000,650,Kandivali West,1
1530,8500000,650,Kandivali West,1
1531,13700000,990,Kandivali West,2
1532,13700000,990,Kandivali West,2
1533,18800000,1450,Kandivali West,2
1534,18800000,1450,Kandivali West,2
1535,18200000,1500,Kandivali West,3
1536,14600000,829,Kandivali West,2
1537,9800000,720,Kandivali West,1
1538,13899999,893,Kandivali West,2
1539,12000000,610,Kandivali West,1
1540,13000000,685,Kandivali West,2
1541,14000000,850,Kandivali West,2
1542,12500000,680,Kandivali West,2
1543,17500000,1075,Kandivali West,2
1544,13000000,800,Kandivali West,2
1545,10500000,575,Kandivali West,1
1546,17000000,1100,Kandivali West,2
1547,12000000,750,Kandivali West,1
1548,10000000,610,Kandivali West,1
1549,5900000,350,Kandivali West,1
1550,23000000,1300,Kanjurmarg,3
1551,8500000,484,Kanjurmarg,1
1552,10500000,620,Kanjurmarg,1
1553,10600000,650,Kanjurmarg,1
1554,10800000,650,Kanjurmarg,1
1555,13899999,538,Kanjurmarg,2
1556,28100000,1115,Kanjurmarg,3
1557,26500000,1052,Kanjurmarg,3
1558,17500000,694,Kanjurmarg,2
1559,23400000,929,Kanjurmarg,3
1560,16500000,656,Kanjurmarg,2
1561,19000000,753,Kanjurmarg,2
1562,16500000,653,Kanjurmarg,2
1563,19000000,752,Kanjurmarg,2
1564,16399999,652,Kanjurmarg,2
1565,17100000,678,Kanjurmarg,2
1566,23800000,944,Kanjurmarg,3
1567,23800000,943,Kanjurmarg,3
1568,17100000,677,Kanjurmarg,2
1569,18900000,749,Kanjurmarg,2
1570,16399999,649,Kanjurmarg,2
1571,19000000,1150,Kanjurmarg,2
1572,4700000,650,Karanjade,1
1573,4100000,690,Karanjade,1
1574,4000000,670,Karanjade,1
1575,4300000,654,Karanjade,1
1576,3950000,630,Karanjade,1
1577,3850000,635,Karanjade,1
1578,3300000,625,Karanjade,1
1579,2850000,530,Karanjade,1
1580,2100000,395,Karanjade,1
1581,6300000,1090,Karanjade,2
1582,6400000,1010,Karanjade,2
1583,6000000,1010,Karanjade,2
1584,5900000,1015,Karanjade,2
1585,2700000,585,Karanjade,1
1586,3700000,640,Karanjade,1
1587,3800000,685,Karanjade,1
1588,3800000,685,Karanjade,1
1589,7700000,984,Karanjade,2
1590,4000000,690,Karanjade,1
1591,4000000,640,Karanjade,1
1592,3900000,640,Karanjade,1
1593,3900000,640,Karanjade,1
1594,5750000,975,Karanjade,2
1595,3800000,650,Karanjade,1
1596,4200000,680,Karanjade,1
1597,6100000,1035,Karanjade,2
1598,3200000,620,Karanjade,1
1599,4100000,645,Karanjade,1
1600,4000000,680,Karanjade,1
1601,2100000,700,Karjat,1
1602,2888000,962,Karjat,2
1603,2064000,688,Karjat,1
1604,2100000,700,Karjat,1
1605,2064000,688,Karjat,1
1606,2898000,966,Karjat,2
1607,2886000,962,Karjat,2
1608,2886000,962,Karjat,2
1609,3700000,990,Kewale,2
1610,3700000,1100,Kewale,2
1611,3200000,950,Kewale,2
1612,3200000,890,Kewale,2
1613,35000000,700,Khar,2
1614,35000000,969,Khar,2
1615,34800000,950,Khar,2
1616,39100000,707,Khar,2
1617,60500000,1195,Khar,3
1618,31000000,900,Khar West,2
1619,120000000,2600,Khar West,4
1620,70000000,1800,Khar West,4
1621,52500000,1450,Khar West,3
1622,55000000,1225,Khar West,3
1623,145000000,3800,Khar West,4
1624,56000000,1196,Khar West,3
1625,32500000,775,Khar West,2
1626,71500000,1600,Khar West,3
1627,38500000,942,Khar West,2
1628,4500000,600,Kharghar,1
1629,6700000,650,Kharghar,1
1630,5000000,665,Kharghar,1
1631,17000000,2000,Kharghar,4
1632,12500000,1550,Kharghar,3
1633,10500000,1356,Kharghar,3
1634,15000000,1680,Kharghar,3
1635,8700000,980,Kharghar,2
1636,9000000,1000,Kharghar,2
1637,11000000,1060,Kharghar,2
1638,10500000,1095,Kharghar,2
1639,9700000,1155,Kharghar,2
1640,10500000,1150,Kharghar,2
1641,8500000,990,Kharghar,2
1642,9300000,1078,Kharghar,2
1643,9900000,1150,Kharghar,2
1644,9000000,1060,Kharghar,2
1645,16000000,2200,Kharghar,4
1646,17000000,2235,Kharghar,4
1647,9500000,1025,Kharghar,2
1648,9500000,950,Kharghar,2
1649,7500000,895,Kharghar,2
1650,8500000,1114,Kharghar,2
1651,13700000,1380,Kharghar,2
1652,8000000,1050,Kharghar,2
1653,10500000,1240,Kharghar,2
1654,9000000,1160,Kharghar,2
1655,6200000,650,Kharghar,1
1656,5000000,600,Kharghar,1
1657,6500000,650,Kharghar,1
1658,5200000,700,Kharghar,1
1659,5500000,560,Kharghar,1
1660,5500000,670,Kharghar,1
1661,6000000,740,Kharghar,1
1662,5500000,636,Kharghar,1
1663,16500000,1635,Kharghar,3
1664,11399999,1550,Kharghar,3
1665,13500000,1500,Kharghar,3
1666,5700000,610,Kharghar,1
1667,4800000,655,Kharghar,1
1668,5300000,670,Kharghar,1
1669,4803000,655,Kharghar,1
1670,13000000,1800,Kharghar,3
1671,15500000,1645,Kharghar,3
1672,13000000,1395,Kharghar,3
1673,8500000,1150,Kharghar,2
1674,9400000,1200,Kharghar,2
1675,4500000,615,Kharghar,1
1676,5300000,670,Kharghar,1
1677,6000000,765,Kharghar,1
1678,5600000,650,Kharghar,1
1679,17500000,1760,Kharghar,3
1680,12000000,1415,Kharghar,3
1681,15000000,1685,Kharghar,3
1682,13000000,1800,Kharghar,3
1683,16600000,1650,Kharghar,3
1684,13000000,1395,Kharghar,3
1685,9400000,1200,Kharghar,2
1686,5700000,650,Kharghar,1
1687,5500000,560,Kharghar,1
1688,6000000,765,Kharghar,1
1689,5600000,650,Kharghar,1
1690,4900000,655,Kharghar,1
1691,13500000,1390,Kharghar,3
1692,17500000,1760,Kharghar,3
1693,17800000,1716,Kharghar,3
1694,14000000,1680,Kharghar,3
1695,15000000,1635,Kharghar,3
1696,10000000,1078,Kharghar,2
1697,17500000,1760,Kharghar,3
1698,11000000,1415,Kharghar,3
1699,13000000,1800,Kharghar,3
1700,9500000,1240,Kharghar,2
1701,5500000,650,Kharghar,1
1702,5000000,550,Kharghar,1
1703,5500000,550,Kharghar,1
1704,6000000,740,Kharghar,1
1705,5000000,570,Kharghar,1
1706,5500000,670,Kharghar,1
1707,15500000,1700,Kharghar,3
1708,11399999,1550,Kharghar,3
1709,12000000,1530,Kharghar,3
1710,16000000,1750,Kharghar,3
1711,11000000,1415,Kharghar,3
1712,16600000,1650,Kharghar,3
1713,14000000,1687,Kharghar,3
1714,8500000,1150,Kharghar,2
1715,4900000,600,Kharghar,1
1716,5500000,650,Kharghar,1
1717,13500000,1400,Kharghar,3
1718,15000000,1780,Kharghar,3
1719,14000000,1687,Kharghar,3
1720,8300000,1050,Kharghar,2
1721,9000000,1160,Kharghar,2
1722,5100000,700,Kharghar,1
1723,5200000,625,Kharghar,1
1724,5500000,670,Kharghar,1
1725,5500000,550,Kharghar,1
1726,5400000,650,Kharghar,1
1727,5300000,660,Kharghar,1
1728,5500000,550,Kharghar,1
1729,5000000,570,Kharghar,1
1730,14000000,1550,Kharghar,3
1731,17100000,1760,Kharghar,3
1732,11800000,1475,Kharghar,3
1733,6000000,759,Kharghar,1
1734,4850000,600,Kharghar,1
1735,4500000,550,Kharghar,1
1736,5000000,550,Kharghar,1
1737,5500000,745,Kharghar,1
1738,4500000,580,Kharghar,1
1739,5300000,670,Kharghar,1
1740,19000000,1845,Kharghar,3
1741,13500000,1400,Kharghar,3
1742,13600000,1680,Kharghar,3
1743,15500000,1645,Kharghar,3
1744,16500000,1585,Kharghar,3
1745,10000000,1075,Kharghar,2
1746,10500000,1155,Kharghar,2
1747,4700000,625,Kharghar,1
1748,6200000,720,Kharghar,1
1749,4500000,550,Kharghar,1
1750,6900000,735,Kharghar,1
1751,4500000,580,Kharghar,1
1752,13000000,1630,Kharghar,3
1753,10500000,1098,Kharghar,2
1754,9500000,1000,Kharghar,2
1755,4500000,550,Kharghar,1
1756,13000000,1630,Kharghar,3
1757,13600000,1680,Kharghar,3
1758,16200000,1650,Kharghar,3
1759,15000000,1440,Kharghar,3
1760,13200000,1370,Kharghar,3
1761,9500000,1000,Kharghar,2
1762,15000000,1760,Kharghar,3
1763,16200000,1675,Kharghar,3
1764,11000000,1060,Kharghar,2
1765,11600000,1150,Kharghar,2
1766,5600000,670,Kharghar,1
1767,8000000,900,Kharghar,2
1768,9500000,1088,Kharghar,2
1769,2300000,310,Kharghar,1
1770,9000000,1060,Kharghar,2
1771,14500000,1360,Kharghar,2
1772,11500000,1250,Kharghar,2
1773,14900000,1550,Kharghar,3
1774,3850000,510,Kharghar,1
1775,2850000,305,Kharghar,1
1776,12100000,1251,Kharghar,2
1777,17500000,1750,Kharghar,3
1778,9400000,1240,Kharghar,2
1779,16500000,1560,Kharghar,3
1780,8000000,1050,Kharghar,2
1781,10200000,1230,Kharghar,2
1782,5500000,655,Kharghar,1
1783,10000000,1140,Kharghar,2
1784,4800000,650,Kharghar,1
1785,14000000,1600,Kharghar,3
1786,10000000,1325,Kharghar,2
1787,12500000,1725,Kharghar,3
1788,16500000,1600,Kharghar,3
1789,21000000,2030,Kharghar,3
1790,16000000,1680,Kharghar,3
1791,17000000,1810,Kharghar,3
1792,9500000,1210,Kharghar,2
1793,31100000,3275,Kharghar,4
1794,30400000,3205,Kharghar,4
1795,12300000,1305,Kharghar,2
1796,11600000,1230,Kharghar,2
1797,16000000,1725,Kharghar,3
1798,9600000,1210,Kharghar,2
1799,16500000,1660,Kharghar,3
1800,17900000,1810,Kharghar,3
1801,13300000,1482,Kharghar,3
1802,11000000,1131,Kharghar,2
1803,6500000,800,Kharghar,2
1804,3700000,500,Kharghar,1
1805,9500000,1150,Kharghar,2
1806,9900000,1150,Kharghar,2
1807,8200000,1015,Kharghar,2
1808,9300000,1150,Kharghar,2
1809,5800000,750,Kharghar,1
1810,14200000,1800,Kharghar,3
1811,15500000,1605,Kharghar,3
1812,7900000,1040,Kharghar,2
1813,11000000,1255,Kharghar,2
1814,5300000,660,Kharghar,1
1815,10000000,1100,Kharghar,2
1816,16200000,1850,Kharghar,3
1817,10200000,1050,Kharghar,2
1818,14200000,1440,Kharghar,3
1819,5300000,612,Kharghar,1
1820,5500000,676,Kharghar,1
1821,5500000,650,Kharghar,1
1822,16000000,1600,Kharghar,3
1823,7500000,850,Kharghar,2
1824,30000000,2950,Kharghar,4
1825,5500000,560,Kharghar,1
1826,8000000,1050,Kharghar,2
1827,6000000,700,Kharghar,1
1828,5500000,649,Kharghar,1
1829,5500000,660,Kharghar,1
1830,14800000,1600,Kharghar,3
1831,11800000,1150,Kharghar,2
1832,13600000,1760,Kharghar,3
1833,5700000,650,Kharghar,1
1834,6500000,750,Kharghar,1
1835,4800000,540,Kharghar,1
1836,21000000,2250,Kharghar,4
1837,16000000,1515,Kharghar,3
1838,15500000,2000,Kharghar,3
1839,8000000,852,Kharghar,2
1840,5200000,600,Kharghar,1
1841,7500000,1000,Kharghar,2
1842,8750000,1205,Kharghar,2
1843,5200000,560,Kharghar,1
1844,7300000,1000,Kharghar,2
1845,15500000,1530,Kharghar,3
1846,15000000,1730,Kharghar,3
1847,4800000,560,Kharghar,1
1848,12000000,1600,Kharghar,3
1849,5300000,600,Kharghar,1
1850,9500000,1075,Kharghar,2
1851,7500000,1000,Kharghar,2
1852,13500000,1300,Kharghar,3
1853,9350000,1195,Kharghar,2
1854,9600000,1083,Kharghar,2
1855,11000000,1364,Kharghar,3
1856,15500000,1530,Kharghar,3
1857,8100000,1079,Kharghar,2
1858,3900000,380,Kharghar,1
1859,13500000,1415,Kharghar,3
1860,13500000,1414,Kharghar,3
1861,11500000,1182,Kharghar,2
1862,8000000,1000,Kharghar,2
1863,16000000,1600,Kharghar,3
1864,14500000,1655,Kharghar,3
1865,6500000,675,Kharghar,1
1866,9500000,1050,Kharghar,2
1867,8000000,800,Kharghar,2
1868,9200000,1250,Kharghar,2
1869,5200000,590,Kharghar,1
1870,6000000,675,Kharghar,1
1871,11100000,1117,Kharghar,2
1872,5500000,650,Kharghar,1
1873,9800000,1090,Kharghar,2
1874,13000000,1500,Kharghar,3
1875,5500000,640,Kharghar,1
1876,7200000,860,Kharghar,1
1877,10500000,1075,Kharghar,2
1878,4600000,600,Kharghar,1
1879,5000000,650,Kharghar,1
1880,13000000,1300,Kharghar,2
1881,8000000,914,Kharghar,2
1882,11000000,1100,Kharghar,2
1883,5700000,670,Kharghar,1
1884,4800000,660,Kharghar,1
1885,8000000,950,Kharghar,2
1886,8000000,1075,Kharghar,2
1887,8300000,1050,Kharghar,2
1888,4500000,600,Kharghar,1
1889,5000000,650,Kharghar,1
1890,8500000,1175,Kharghar,2
1891,8500000,1050,Kharghar,2
1892,9500000,1120,Kharghar,2
1893,6500000,735,Kharghar,1
1894,7000000,735,Kharghar,1
1895,6500000,649,Kharghar,1
1896,6500000,660,Kharghar,1
1897,8500000,1000,Kharghar,2
1898,10500000,1120,Kharghar,2
1899,13700000,1380,Kharghar,2
1900,9500000,1120,Kharghar,2
1901,5500000,649,Kharghar,1
1902,8000000,954,Kharghar,2
1903,7800000,1000,Kharghar,2
1904,6200000,650,Kharghar,1
1905,5800000,735,Kharghar,1
1906,6500000,735,Kharghar,1
1907,8500000,1115,Kharghar,2
1908,5500000,620,Kharghar,1
1909,13500000,1677,Kharghar,3
1910,15500000,1530,Kharghar,3
1911,9500000,1075,Kharghar,2
1912,6900000,735,Kharghar,1
1913,5200000,641,Kharghar,1
1914,6000000,735,Kharghar,1
1915,5200000,641,Kharghar,1
1916,8500000,1100,Kharghar,2
1917,6000000,735,Kharghar,1
1918,11000000,1254,Kharghar,3
1919,6000000,750,Kharghar,1
1920,12000000,1210,Kharghar,2
1921,13000000,1498,Kharghar,3
1922,12000000,1395,Kharghar,3
1923,8700000,1050,Kharghar,2
1924,25000000,2400,Kharghar,5
1925,8200000,1015,Kharghar,2
1926,9000000,1060,Kharghar,2
1927,9000000,1060,Kharghar,2
1928,8600000,1100,Kharghar,2
1929,8600000,1100,Kharghar,2
1930,9000000,1031,Kharghar,2
1931,9000000,1031,Kharghar,2
1932,10000000,1100,Kharghar,2
1933,5600000,620,Kharghar,1
1934,5600000,620,Kharghar,1
1935,8500000,1080,Kharghar,2
1936,6500000,685,Kharghar,1
1937,6500000,685,Kharghar,1
1938,15500000,1525,Kharghar,3
1939,13500000,1370,Kharghar,3
1940,13500000,1370,Kharghar,3
1941,9000000,1150,Kharghar,2
1942,9000000,1150,Kharghar,2
1943,15500000,1450,Kharghar,3
1944,7500000,920,Kharghar,2
1945,5600000,560,Kharghar,1
1946,6500000,630,Kharghar,1
1947,7000000,950,Kharghar,2
1948,12500000,1650,Kharghar,3
1949,9500000,1150,Kharghar,2
1950,4700000,625,Kharghar,1
1951,7000000,950,Kharghar,2
1952,6900000,700,Kharghar,1
1953,7000000,720,Kharghar,1
1954,7400000,950,Kharghar,1
1955,9300000,1100,Kharghar,2
1956,6000000,700,Kharghar,1
1957,5000000,650,Kharghar,1
1958,9500000,1120,Kharghar,2
1959,10000000,1125,Kharghar,2
1960,5200000,650,Kharghar,1
1961,6500000,700,Kharghar,1
1962,6500000,700,Kharghar,1
1963,6500000,650,Kharghar,1
1964,6500000,650,Kharghar,1
1965,6500000,711,Kharghar,1
1966,11500000,1270,Kharghar,2
1967,8500000,1120,Kharghar,2
1968,8500000,1120,Kharghar,2
1969,5500000,675,Kharghar,1
1970,5500000,675,Kharghar,1
1971,8499000,1050,Kharghar,2
1972,8500000,1100,Kharghar,2
1973,10000000,1100,Kharghar,2
1974,9500000,1200,Kharghar,2
1975,12100000,1240,Kharghar,2
1976,13500000,1375,Kharghar,3
1977,9199000,1065,Kharghar,2
1978,6400000,670,Kharghar,1
1979,9300000,1240,Kharghar,2
1980,13500000,1680,Kharghar,3
1981,8900000,1065,Kharghar,2
1982,10000000,1055,Kharghar,2
1983,12500000,1240,Kharghar,2
1984,16299999,1705,Kharghar,3
1985,12000000,1200,Kharghar,2
1986,9000000,1060,Kharghar,2
1987,5800000,650,Kharghar,1
1988,16700000,2200,Kharghar,4
1989,8588000,1130,Kharghar,2
1990,5500000,585,Kharghar,1
1991,12100000,1600,Kharghar,3
1992,9600000,900,Kharghar,2
1993,11000000,1100,Kharghar,2
1994,12000000,1400,Kharghar,2
1995,9500000,1000,Kharghar,2
1996,12700000,1385,Kharghar,3
1997,12700000,1385,Kharghar,3
1998,32000000,3205,Kharghar,4
1999,16500000,1660,Kharghar,3
2000,7000000,750,Kharghar,2
2001,7000000,750,Kharghar,2
2002,12000000,1150,Kharghar,2
2003,12000000,1150,Kharghar,2
2004,9000000,1005,Kharghar,2
2005,11000000,1096,Kharghar,2
2006,9000000,1227,Kharghar,2
2007,15200000,1697,Kharghar,3
2008,11500000,1100,Kharghar,2
2009,8500000,1000,Kharghar,2
2010,8500000,1000,Kharghar,2
2011,7500000,950,Kharghar,2
2012,6500000,650,Kharghar,1
2013,9300000,1050,Kharghar,2
2014,5800000,650,Kharghar,1
2015,30000000,3500,Kharghar,4
2016,30000000,3500,Kharghar,4
2017,28500000,3500,Kharghar,4
2018,12000000,1375,Kharghar,3
2019,10000000,1234,Kharghar,2
2020,15500000,1515,Kharghar,3
2021,10000000,1120,Kharghar,2
2022,10000000,1120,Kharghar,2
2023,8500000,1050,Kharghar,2
2024,6500000,650,Kharghar,1
2025,5500000,580,Kharghar,2
2026,13000000,1220,Kharghar,2
2027,12100000,690,Kolshet Road,2
2028,10500000,850,Kolshet Road,2
2029,8800000,779,Kolshet Road,2
2030,12500000,1151,Koparkhairane Station Road,2
2031,10500000,1050,Koparkhairane Station Road,2
2032,7500000,725,Koparkhairane Station Road,1
2033,10500000,1150,Koper Khairane,2
2034,8000000,700,Koper Khairane,1
2035,7100000,700,Koper Khairane,2
2036,6900000,685,Koper Khairane,1
2037,13000000,1075,Koper Khairane,2
2038,11800000,1080,Koper Khairane,2
2039,7000000,650,Koper Khairane,1
2040,9500000,925,Koper Khairane,2
2041,8000000,850,Koper Khairane,2
2042,9500000,1050,Koper Khairane,2
2043,6500000,695,Koper Khairane,1
2044,9000000,950,Koper Khairane,2
2045,11500000,1075,Koper Khairane,2
2046,13000000,1075,Koper Khairane,2
2047,19500000,1800,Koper Khairane,3
2048,8500000,950,Koper Khairane,2
2049,15000000,1500,Koper Khairane,2
2050,3300000,670,Koproli,1
2051,4179999,790,Koproli,2
2052,4050000,810,Koproli,2
2053,4170000,850,Koproli,2
2054,4200000,870,Koproli,2
2055,4349000,870,Koproli,2
2056,4200000,870,Koproli,2
2057,4600000,850,Koproli,2
2058,3400000,550,Koproli,1
2059,3300000,550,Koproli,1
2060,3200000,550,Koproli,1
2061,3500000,550,Koproli,1
2062,3400000,610,Koproli,1
2063,3100000,600,Koproli,1
2064,3400000,590,Koproli,1
2065,3300000,590,Koproli,1
2066,3200000,630,Koproli,1
2067,4200000,700,Koproli,2
2068,4500000,690,Koproli,2
2069,11000000,780,Kurla,2
2070,14000000,1077,Kurla,2
2071,8200000,725,Kurla,1
2072,8100000,720,Kurla,1
2073,8298999,700,Kurla,1
2074,7798999,700,Kurla,1
2075,7898999,680,Kurla,1
2076,7998999,700,Kurla,1
2077,18500000,1676,Kurla,3
2078,9000000,750,Kurla,1
2079,16500000,950,Kurla,2
2080,9800000,610,Kurla,1
2081,8100000,500,Kurla,1
2082,11500000,1120,Kurla West,2
2083,11000000,1050,Kurla West,2
2084,8600000,695,Kurla West,1
2085,11000000,900,Kurla West,2
2086,7998999,690,Kurla West,1
2087,11500000,1100,Kurla West,2
2088,42000000,1200,Lower Parel,2
2089,101400000,2880,Lower Parel,3
2090,45000000,1168,Lower Parel,2
2091,55000000,1388,Lower Parel,2
2092,55000000,1557,Lower Parel,3
2093,46000000,1040,Lower Parel,1
2094,20700000,1257,Magathane,2
2095,17500000,1053,Magathane,2
2096,10800000,650,Magathane,1
2097,21000000,1150,Magathane,2
2098,27000000,1550,Magathane,3
2099,10500000,650,Magathane,1
2100,28000000,1650,Magathane,3
2101,27000000,1650,Magathane,3
2102,19000000,1165,Magathane,2
2103,17000000,1050,Magathane,2
2104,20500000,1150,Magathane,2
2105,26500000,1450,Magathane,3
2106,29000000,1650,Magathane,3
2107,16500000,1050,Magathane,2
2108,9800000,585,Magathane,1
2109,21000000,1250,Magathane,2
2110,17500000,1050,Magathane,2
2111,20000000,1250,Magathane,3
2112,17000000,1050,Magathane,2
2113,21000000,1250,Magathane,2
2114,9800000,585,Magathane,1
2115,7500000,600,Majiwada,1
2116,5898000,600,Majiwada,1
2117,10800000,1209,Majiwada,2
2118,5894000,585,Majiwada,1
2119,7494000,800,Majiwada,2
2120,10500000,1170,Majiwada,2
2121,7300000,800,Majiwada,2
2122,5900000,585,Majiwada,1
2123,19500000,1200,Malad East,2
2124,43500000,2600,Malad East,3
2125,21600000,1264,Malad East,2
2126,37500000,2780,Malad East,4
2127,31000000,1672,Malad East,3
2128,21100000,1200,Malad East,2
2129,16500000,1200,Malad East,2
2130,23800000,1672,Malad East,3
2131,20500000,1457,Malad East,3
2132,27500000,1600,Malad East,3
2133,21000000,1280,Malad East,2
2134,21500000,1280,Malad East,2
2135,8000000,670,Malad East,1
2136,20000000,1250,Malad East,2
2137,8600000,608,Malad East,1
2138,8600000,550,Malad East,1
2139,16000000,1290,Malad East,2
2140,41200000,2300,Malad East,4
2141,12000000,720,Malad East,1
2142,16000000,1232,Malad East,2
2143,13500000,994,Malad East,2
2144,14900000,1200,Malad East,1
2145,14900000,806,Malad East,2
2146,18500000,1350,Malad East,2
2147,20000000,1600,Malad East,3
2148,19000000,1100,Malad East,2
2149,19000000,1100,Malad East,2
2150,15500000,1000,Malad East,2
2151,26000000,1850,Malad East,3
2152,25500000,1850,Malad East,3
2153,37000000,2310,Malad East,3
2154,18000000,1155,Malad East,2
2155,35000000,2310,Malad East,3
2156,11500000,630,Malad East,1
2157,9000000,570,Malad East,1
2158,13500000,820,Malad East,2
2159,4850000,411,Malad East,1
2160,24000000,1290,Malad East,2
2161,20000000,1164,Malad East,2
2162,4500000,356,Malad East,1
2163,72300000,4240,Malad East,5
2164,44000000,2580,Malad East,4
2165,36100000,2120,Malad East,3
2166,22000000,1290,Malad East,2
2167,13500000,1072,Malad East,1
2168,11000000,686,Malad East,1
2169,20000000,1250,Malad East,2
2170,15500000,1023,Malad East,2
2171,16500000,1115,Malad East,1
2172,22000000,1266,Malad East,2
2173,13000000,960,Malad East,1
2174,23200000,1660,Malad East,3
2175,11500000,760,Malad East,1
2176,9200000,696,Malad East,1
2177,9200000,594,Malad East,1
2178,11000000,800,Malad East,1
2179,9500000,742,Malad East,1
2180,7500000,552,Malad East,1
2181,7200000,490,Malad East,1
2182,37000000,2419,Malad East,4
2183,12200000,855,Malad East,2
2184,12000000,1021,Malad East,2
